title,author,year,gutenberg_id,filename,status,score,source_url
"Principles of Geology, Vol. II",Lyell,1832,,,NO_MATCH,0.00,
"Principles of Geology, Vol. III",Lyell,1833,,,NO_MATCH,0.00,
"Experimental Researches in Electricity, Vol. I",Michael Faraday,1839,,,NO_MATCH,0.00,
"Experimental Researches in Electricity, Vol. II",Faraday,1844,,,NO_MATCH,0.00,
Lectures on the Philosophy of the Human Mind,Thomas Brown,1820,43116,43116-Lectures_on_the_Philosophy_of_the_Human_Mind.txt,DOWNLOADED_TEXT,0.86,https://www.gutenberg.org/files/43116/43116-0.txt
The Botanic Garden,Erasmus Darwin,1803,68097,68097-The_Botanic_Garden.txt,DOWNLOADED_HTML,0.63,https://www.gutenberg.org/ebooks/68097.html.images
"The Times (London) – select issues 1800, ’10, ’20, ’30, ’40, ’50",,,,,NO_MATCH,0.00,
Morning Chronicle (London) – select issues 1800–1850,,,,,NO_MATCH,0.00,
Evening Standard (London) – select issues 1827–1850,,,,,NO_MATCH,0.00,
Morning Post (London) – select issues 1800–1850,,,,,NO_MATCH,0.00,
The Examiner – (1808–1850),,,,,NO_MATCH,0.00,
The Spectator – (1828–1850),,,,,NO_MATCH,0.00,
The Athenaeum – (1828–1850),,,,,NO_MATCH,0.00,
Literary Gazette – (1817–1850),,,,,NO_MATCH,0.00,
Blackwood’s Edinburgh Magazine – (1817–1850),,,,,NO_MATCH,0.00,
Edinburgh Review – (1802–1850),,,,,NO_MATCH,0.00,
Quarterly Review – (1809–1850),,,,,NO_MATCH,0.00,
Westminster Review – (1823–1850),,,,,NO_MATCH,0.00,
Foreign Quarterly Review – (1809–1850),,,,,NO_MATCH,0.00,
London Magazine – (1820–1850),,,,,NO_MATCH,0.00,
Lady’s Magazine – (1800–1850),,,,,NO_MATCH,0.00,
New Monthly Magazine – (1814–1850),,,,,NO_MATCH,0.00,
Fraser’s Magazine – (1830–1850),,,,,NO_MATCH,0.00,
Bentley’s Miscellany – (1836–1850),,,,,NO_MATCH,0.00,
Tait’s Edinburgh Magazine – (1832–1850),,,,,NO_MATCH,0.00,
Gentlemen’s Magazine – select issues 1800–1850,,,,,NO_MATCH,0.00,
Mechanics’ Magazine – (1823–1850),,,,,NO_MATCH,0.00,
The Lancet – (1823–1850),,,,,NO_MATCH,0.00,
Philosophical Transactions of the Royal Society – (select papers),,,,,NO_MATCH,0.00,
Journal of the Geological Society of London – (1841–1850),,,,,NO_MATCH,0.00,
Journal of the Royal Asiatic Society – (1823–1850),,,,,NO_MATCH,0.00,
Journal of the Statistical Society of London – (1834–1850),,,,,NO_MATCH,0.00,
Punch (aka The London Charivari) – (1841–1850),,,,,NO_MATCH,0.00,
Household Words (Dickens & Forster),,1850,,,NO_MATCH,0.00,
The Kaleidoscope – (1823–1850),,,,,NO_MATCH,0.00,
Literary Chronicle & Weekly Review – (1843–1850),,,,,NO_MATCH,0.00,
Act of Union (Great Britain & Ireland) – 1800,,,,,NO_MATCH,0.00,
Treaty of Amiens – 1802,,,,,NO_MATCH,0.00,
Napoleonic Code (Eng. trans.) – 1804,,,,,NO_MATCH,0.00,
Slave Trade Act – 1807,,,,,NO_MATCH,0.00,
Regency Act – 1811,,,,,NO_MATCH,0.00,
Corn Laws (Tariff Act) – 1822,,,,,NO_MATCH,0.00,
Reform Act (“Great Reform Act”) – 1832,,,,,NO_MATCH,0.00,
Poor Law Amendment Act – 1834,,,,,NO_MATCH,0.00,
Municipal Corporations Act – 1835,,,,,NO_MATCH,0.00,
Factory Act – 1833,,,,,NO_MATCH,0.00,
Journal of a Pedestrian Tour in the Southern Counties of England & Wales,Richard Warner,1802,,,NO_MATCH,0.00,
Letters & Journals of Lord Byron,Lord Byron,1830,,,NO_MATCH,0.00,
Journal & Remarks (Voyage of the Beagle),Charles Darwin,1839,,,NO_MATCH,0.00,
Memoirs of Frances Burney (“Madame d’Arblay”),Frances Burney,1842,,,NO_MATCH,0.00,
Life & Correspondence of Sir Walter Scott,John G. Lockhart,1837,,,NO_MATCH,0.00,
Letters of John Keats,John Keats (ed. R. Monckton Milnes),1848,35698,35698-Letters_of_John_Keats.txt,DOWNLOADED_HTML,0.62,https://www.gutenberg.org/ebooks/35698.html.images
Memoirs of Lord Byron,Thomas Moore,1830,,,NO_MATCH,0.00,
Memoirs of William Cobbett,William Cobbett,1831,,,NO_MATCH,0.00,
Godwin’s Memoirs of Mary Wollstonecraft,William Godwin,1835,,,NO_MATCH,0.00,
Private Memoranda of John Wilkes,John Wilkes,1812,,,NO_MATCH,0.00,
The Book of Common Prayer (1801 ed.),,,,,NO_MATCH,0.00,
The Thirty,nine Articles of the Church of England,1801,558,558-The_Thirty.txt,DOWNLOADED_TEXT,0.65,https://www.gutenberg.org/files/558/558-0.txt
Tracts for the Times (No. 1–90) – John Keble et al. (1833–43),,,,,NO_MATCH,0.00,
Essays on the Church,John Keble,1833,,,NO_MATCH,0.30,
The Christian Observer (periodical) – (1802–1850),,,,,NO_MATCH,0.00,
Hymns on Various Subjects,Charlotte Elliott,1823,,,NO_MATCH,0.00,
Horae Homileticae (vols. I–X) – Charles Simeon (1808–22),,,,,NO_MATCH,0.00,
An Apology for the Church of England,W. Jones,1838,,,NO_MATCH,0.00,
The Protestant Memorial (against “Papist Aggression”) – 1839,,,,,NO_MATCH,0.00,
Appeal to the Christian Women of Great Britain,anonymous,1848,,,NO_MATCH,0.00,
Modern Cookery for Private Families,Eliza Acton,1845,72482,72482-Modern_Cookery_for_Private_Families.txt,DOWNLOADED_HTML,1.00,https://www.gutenberg.org/ebooks/72482.html.images
Modern Domestic Cookery,Maria Rundell,1806,,,NO_MATCH,0.00,
The Cook’s Oracle,William Kitchiner,1817,,,NO_MATCH,0.00,
Art of Dyeing,Thomas Thomson,1813,,,NO_MATCH,0.20,
The Shipbuilder’s Assistant,William Bowen,1815,,,NO_MATCH,0.00,
Practical Treatise on Navigation,J. H. Moore,1801,,,NO_MATCH,0.00,
The Mechanic’s Companion,John Mawe,1820,,,NO_MATCH,0.00,
The Carpenter’s New Guide,Peter Nicholson,1812,,,NO_MATCH,0.00,
Engineer & Machinist’s Practical Guide,W. Fairbairn,1844,,,NO_MATCH,0.00,
Treatise on the Steam Engine,J. Bourne,1841,,,NO_MATCH,0.00,
Gas Light Handbook,W. Murdoch,1807,,,NO_MATCH,0.00,
Art of Glass,Blowing – Joseph Hawkins,1830,,,NO_MATCH,0.49,
Elements of Bridge Engineering,Charles Atherton,1836,,,NO_MATCH,0.00,
On the Construction of Roads & Bridges,Thomas Telford,1834,,,NO_MATCH,0.00,
Practical Observations on Surgery,John Abernethy,1805,,,NO_MATCH,0.00,
Principles & Practice of Midwifery,William Hunter,1814,,,NO_MATCH,0.00,
Geological Survey Memoir,H. De la Beche,1830,,,NO_MATCH,0.00,
Student’s Handbook of Mineralogy,T. Thomson,1832,,,NO_MATCH,0.00,
The Pocket Book of Useful Receipts,John Murray,1839,,,NO_MATCH,0.00,
The American Frugal Housewife (UK ed.),Lydia M. Child,1831,,,NO_MATCH,0.00,
Broadside Ballads (various street-songs) – c. 1800–1850,,,,,NO_MATCH,0.00,
Chartist Petition Broadside – 1839,,,,,NO_MATCH,0.00,
Political Campaign Broadside for George Canning – 1827,,,,,NO_MATCH,0.00,
London & Greenwich Railway Timetables – 1838,,,,,NO_MATCH,0.00,
The Royal Almanac – annual (1800–1850),,,,,NO_MATCH,0.00,
Ordnance Survey Fire Insurance Maps,1st ed.,1844,,,NO_MATCH,0.00,
Patent Office Gazette – monthly (1800–1850),,,,,NO_MATCH,0.00,
Playbill: Covent Garden Theatre – select years 1800–1850,,,,,NO_MATCH,0.00,
London Stock Exchange Official List – c. 1801,,,,,NO_MATCH,0.00,
Handbill for SS Great Western launch – 1837,,,,,NO_MATCH,0.00,
